The script has started
Dataset({
    features: ['text', '__index_level_0__'],
    num_rows: 16006
})
{'loss': 1.2051, 'grad_norm': 1.2260226011276245, 'learning_rate': 9.999135095944002e-05, 'epoch': 0.01}
{'loss': 0.8512, 'grad_norm': 0.8099259734153748, 'learning_rate': 8.861916028507707e-05, 'epoch': 0.44}
{'loss': 0.8534, 'grad_norm': 0.571018397808075, 'learning_rate': 8.802180823091502e-05, 'epoch': 0.45}
{'loss': 0.7812, 'grad_norm': 0.5700215101242065, 'learning_rate': 8.741130209029082e-05, 'epoch': 0.46}
{'loss': 0.8329, 'grad_norm': 0.6968947649002075, 'learning_rate': 8.678785307489938e-05, 'epoch': 0.47}
{'loss': 0.7875, 'grad_norm': 0.7535921335220337, 'learning_rate': 8.615167687417355e-05, 'epoch': 0.49}
{'loss': 0.721, 'grad_norm': 0.6723275780677795, 'learning_rate': 8.550299358066387e-05, 'epoch': 0.5}
{'loss': 0.8276, 'grad_norm': 0.7006365060806274, 'learning_rate': 8.484202761389497e-05, 'epoch': 0.51}
{'loss': 0.8723, 'grad_norm': 0.6230283379554749, 'learning_rate': 8.416900764272509e-05, 'epoch': 0.52}
{'loss': 0.8167, 'grad_norm': 0.7828418612480164, 'learning_rate': 8.34841665062353e-05, 'epoch': 0.53}
{'loss': 0.7786, 'grad_norm': 0.6770061254501343, 'learning_rate': 8.278774113317633e-05, 'epoch': 0.54}
{'loss': 0.734, 'grad_norm': 0.6579670906066895, 'learning_rate': 8.207997246000012e-05, 'epoch': 0.56}
{'loss': 0.7919, 'grad_norm': 0.5683915019035339, 'learning_rate': 8.13611053475051e-05, 'epoch': 0.57}
{'loss': 0.8016, 'grad_norm': 0.8503963351249695, 'learning_rate': 8.06313884961238e-05, 'epoch': 0.58}
{'loss': 0.781, 'grad_norm': 0.6484171152114868, 'learning_rate': 7.989107435988203e-05, 'epoch': 0.59}
{'eval_loss': 0.7807708978652954, 'eval_runtime': 73.5751, 'eval_samples_per_second': 11.39, 'eval_steps_per_second': 1.427, 'epoch': 0.59}
{'loss': 0.7706, 'grad_norm': 0.7702401876449585, 'learning_rate': 7.914041905905944e-05, 'epoch': 0.6}
{'loss': 0.8132, 'grad_norm': 0.839359700679779, 'learning_rate': 7.837968229158178e-05, 'epoch': 0.62}
{'loss': 0.8283, 'grad_norm': 0.8079090714454651, 'learning_rate': 7.760912724317533e-05, 'epoch': 0.63}
{'loss': 0.7069, 'grad_norm': 0.6927472949028015, 'learning_rate': 7.68290204963148e-05, 'epoch': 0.64}
{'loss': 0.811, 'grad_norm': 0.623825192451477, 'learning_rate': 7.603963193799595e-05, 'epoch': 0.65}
{'loss': 0.8163, 'grad_norm': 0.6942513585090637, 'learning_rate': 7.524123466636515e-05, 'epoch': 0.66}
{'loss': 0.7469, 'grad_norm': 0.6125443577766418, 'learning_rate': 7.44341048962378e-05, 'epoch': 0.67}
{'loss': 0.8164, 'grad_norm': 0.8704622387886047, 'learning_rate': 7.361852186353867e-05, 'epoch': 0.69}
{'loss': 0.7487, 'grad_norm': 0.9000828266143799, 'learning_rate': 7.279476772869693e-05, 'epoch': 0.7}
{'loss': 0.8019, 'grad_norm': 0.7024686336517334, 'learning_rate': 7.196312747902956e-05, 'epoch': 0.71}
{'loss': 0.8953, 'grad_norm': 0.6864556074142456, 'learning_rate': 7.112388883014656e-05, 'epoch': 0.72}
{'loss': 0.7655, 'grad_norm': 0.5110988020896912, 'learning_rate': 7.02773421264125e-05, 'epoch': 0.73}
{'loss': 0.7467, 'grad_norm': 0.6635811924934387, 'learning_rate': 6.942378024049843e-05, 'epoch': 0.75}
{'loss': 0.7766, 'grad_norm': 0.7026558518409729, 'learning_rate': 6.856349847205923e-05, 'epoch': 0.76}
{'loss': 0.8166, 'grad_norm': 0.6738500595092773, 'learning_rate': 6.76967944455712e-05, 'epoch': 0.77}
{'loss': 0.8308, 'grad_norm': 0.6614165902137756, 'learning_rate': 6.682396800736553e-05, 'epoch': 0.78}
{'loss': 0.8069, 'grad_norm': 0.629245400428772, 'learning_rate': 6.594532112189281e-05, 'epoch': 0.79}
{'loss': 0.8505, 'grad_norm': 0.5795055031776428, 'learning_rate': 6.506115776725509e-05, 'epoch': 0.81}
{'loss': 0.7433, 'grad_norm': 0.6678797602653503, 'learning_rate': 6.417178383004099e-05, 'epoch': 0.82}
{'loss': 0.8378, 'grad_norm': 0.8002978563308716, 'learning_rate': 6.327750699950073e-05, 'epoch': 0.83}
{'loss': 0.8125, 'grad_norm': 0.7600347399711609, 'learning_rate': 6.237863666109752e-05, 'epoch': 0.84}
{'loss': 0.8057, 'grad_norm': 0.6524505615234375, 'learning_rate': 6.147548378947195e-05, 'epoch': 0.85}
{'loss': 0.7864, 'grad_norm': 0.6631894111633301, 'learning_rate': 6.0568360840856734e-05, 'epoch': 0.86}
{'loss': 0.755, 'grad_norm': 0.6682089567184448, 'learning_rate': 5.9657581644978914e-05, 'epoch': 0.88}
{'loss': 0.7426, 'grad_norm': 0.7190703749656677, 'learning_rate': 5.874346129648674e-05, 'epoch': 0.89}
{'eval_loss': 0.7666730880737305, 'eval_runtime': 62.2569, 'eval_samples_per_second': 13.46, 'eval_steps_per_second': 1.687, 'epoch': 0.89}
{'loss': 0.797, 'grad_norm': 0.5875744223594666, 'learning_rate': 5.7826316045939045e-05, 'epoch': 0.9}
{'loss': 0.7204, 'grad_norm': 0.7713133692741394, 'learning_rate': 5.690646319039468e-05, 'epoch': 0.91}
{'loss': 0.7819, 'grad_norm': 0.6706702709197998, 'learning_rate': 5.598422096363992e-05, 'epoch': 0.92}
{'loss': 0.8331, 'grad_norm': 0.6326363682746887, 'learning_rate': 5.505990842609178e-05, 'epoch': 0.94}
{'loss': 0.7085, 'grad_norm': 0.5453073382377625, 'learning_rate': 5.413384535441536e-05, 'epoch': 0.95}
{'loss': 0.6994, 'grad_norm': 0.571882963180542, 'learning_rate': 5.320635213089338e-05, 'epoch': 0.96}
{'loss': 0.7688, 'grad_norm': 0.640470027923584, 'learning_rate': 5.227774963258622e-05, 'epoch': 0.97}
{'loss': 0.7398, 'grad_norm': 0.7164015173912048, 'learning_rate': 5.134835912032073e-05, 'epoch': 0.98}
{'loss': 0.7689, 'grad_norm': 0.5768494009971619, 'learning_rate': 5.0418502127546395e-05, 'epoch': 0.99}
{'loss': 0.74, 'grad_norm': 0.623075008392334, 'learning_rate': 4.948850034909705e-05, 'epoch': 1.01}
{'loss': 0.6967, 'grad_norm': 0.6545649170875549, 'learning_rate': 4.855867552989678e-05, 'epoch': 1.02}
{'loss': 0.7981, 'grad_norm': 0.6872056722640991, 'learning_rate': 4.76293493536486e-05, 'epoch': 1.03}
{'loss': 0.7363, 'grad_norm': 0.8312661647796631, 'learning_rate': 4.6700843331544175e-05, 'epoch': 1.04}
{'loss': 0.7757, 'grad_norm': 0.7901685833930969, 'learning_rate': 4.577347869103331e-05, 'epoch': 1.05}
{'loss': 0.7228, 'grad_norm': 0.535915732383728, 'learning_rate': 4.484757626469161e-05, 'epoch': 1.07}
{'loss': 0.7085, 'grad_norm': 0.8115667700767517, 'learning_rate': 4.392345637922467e-05, 'epoch': 1.08}
{'loss': 0.8016, 'grad_norm': 0.7989303469657898, 'learning_rate': 4.300143874464734e-05, 'epoch': 1.09}
{'loss': 0.7026, 'grad_norm': 0.6364026069641113, 'learning_rate': 4.20818423436764e-05, 'epoch': 1.1}
{'loss': 0.7142, 'grad_norm': 0.792894184589386, 'learning_rate': 4.116498532137463e-05, 'epoch': 1.11}
{'loss': 0.7657, 'grad_norm': 1.2248775959014893, 'learning_rate': 4.0251184875085026e-05, 'epoch': 1.12}
{'loss': 0.7646, 'grad_norm': 0.5478963851928711, 'learning_rate': 3.934075714469251e-05, 'epoch': 1.14}
{'loss': 0.7609, 'grad_norm': 0.6860275864601135, 'learning_rate': 3.843401710325175e-05, 'epoch': 1.15}
{'loss': 0.7674, 'grad_norm': 0.6339688301086426, 'learning_rate': 3.753127844801863e-05, 'epoch': 1.16}
{'loss': 0.6914, 'grad_norm': 0.6766839623451233, 'learning_rate': 3.663285349192284e-05, 'epoch': 1.17}
{'loss': 0.79, 'grad_norm': 0.7509782314300537, 'learning_rate': 3.5739053055519875e-05, 'epoch': 1.18}
{'eval_loss': 0.7603159546852112, 'eval_runtime': 74.2058, 'eval_samples_per_second': 11.293, 'eval_steps_per_second': 1.415, 'epoch': 1.18}
{'loss': 0.73, 'grad_norm': 0.7277428507804871, 'learning_rate': 3.4850186359458776e-05, 'epoch': 1.2}
{'loss': 0.7145, 'grad_norm': 0.698809027671814, 'learning_rate': 3.3966560917503796e-05, 'epoch': 1.21}
{'loss': 0.7679, 'grad_norm': 0.8228257298469543, 'learning_rate': 3.308848243014646e-05, 'epoch': 1.22}
{'loss': 0.732, 'grad_norm': 0.6256019473075867, 'learning_rate': 3.2216254678844804e-05, 'epoch': 1.23}
{'loss': 0.766, 'grad_norm': 0.5735694169998169, 'learning_rate': 3.1350179420926836e-05, 'epoch': 1.24}
{'loss': 0.7105, 'grad_norm': 0.6786401271820068, 'learning_rate': 3.049055628519385e-05, 'epoch': 1.26}
{'loss': 0.8078, 'grad_norm': 0.9537100791931152, 'learning_rate': 2.963768266826055e-05, 'epoch': 1.27}
{'loss': 0.7654, 'grad_norm': 0.6820197701454163, 'learning_rate': 2.879185363166717e-05, 'epoch': 1.28}
{'loss': 0.722, 'grad_norm': 0.822067379951477, 'learning_rate': 2.7953361799799455e-05, 'epoch': 1.29}
{'loss': 0.7292, 'grad_norm': 0.673037588596344, 'learning_rate': 2.7122497258651934e-05, 'epoch': 1.3}
{'loss': 0.7095, 'grad_norm': 0.7479046583175659, 'learning_rate': 2.6299547455469297e-05, 'epoch': 1.31}
{'loss': 0.6821, 'grad_norm': 0.6903689503669739, 'learning_rate': 2.5484797099300544e-05, 'epoch': 1.33}
{'loss': 0.737, 'grad_norm': 0.7338905334472656, 'learning_rate': 2.46785280625008e-05, 'epoch': 1.34}
{'loss': 0.7861, 'grad_norm': 0.7630199790000916, 'learning_rate': 2.3881019283214078e-05, 'epoch': 1.35}
{'loss': 0.7634, 'grad_norm': 0.8679471611976624, 'learning_rate': 2.3092546668871566e-05, 'epoch': 1.36}
{'loss': 0.7475, 'grad_norm': 0.8391910791397095, 'learning_rate': 2.2313383000738154e-05, 'epoch': 1.37}
{'loss': 0.7506, 'grad_norm': 0.9662140011787415, 'learning_rate': 2.1543797839540548e-05, 'epoch': 1.39}
{'loss': 0.7235, 'grad_norm': 0.7400391697883606, 'learning_rate': 2.078405743220973e-05, 'epoch': 1.4}
{'loss': 0.7571, 'grad_norm': 0.7381325364112854, 'learning_rate': 2.003442461976958e-05, 'epoch': 1.41}
{'loss': 0.767, 'grad_norm': 0.6830160021781921, 'learning_rate': 1.9295158746404118e-05, 'epoch': 1.42}
{'loss': 0.7163, 'grad_norm': 0.7558512687683105, 'learning_rate': 1.8566515569734293e-05, 'epoch': 1.43}
{'loss': 0.6975, 'grad_norm': 0.8232250809669495, 'learning_rate': 1.7848747172335622e-05, 'epoch': 1.44}
{'loss': 0.7582, 'grad_norm': 0.6487805843353271, 'learning_rate': 1.7142101874527416e-05, 'epoch': 1.46}
{'loss': 0.7995, 'grad_norm': 0.8679563403129578, 'learning_rate': 1.644682414846332e-05, 'epoch': 1.47}
{'loss': 0.7539, 'grad_norm': 0.9339338541030884, 'learning_rate': 1.5763154533553486e-05, 'epoch': 1.48}
{'eval_loss': 0.7559289336204529, 'eval_runtime': 73.7933, 'eval_samples_per_second': 11.356, 'eval_steps_per_second': 1.423, 'epoch': 1.48}
{'loss': 0.7774, 'grad_norm': 0.977693498134613, 'learning_rate': 1.5091329553247096e-05, 'epoch': 1.49}
{'loss': 0.8107, 'grad_norm': 0.7609195709228516, 'learning_rate': 1.4431581633204261e-05, 'epoch': 1.5}
{'loss': 0.7282, 'grad_norm': 0.7321317791938782, 'learning_rate': 1.378413902088581e-05, 'epoch': 1.52}
{'loss': 0.7033, 'grad_norm': 0.9417128562927246, 'learning_rate': 1.314922570658828e-05, 'epoch': 1.53}
{'loss': 0.7022, 'grad_norm': 0.7929114103317261, 'learning_rate': 1.252706134595199e-05, 'epoch': 1.54}
{'loss': 0.7401, 'grad_norm': 0.6509993076324463, 'learning_rate': 1.1917861183968548e-05, 'epoch': 1.55}
{'loss': 0.7805, 'grad_norm': 0.843619167804718, 'learning_rate': 1.1321835980514345e-05, 'epoch': 1.56}
{'loss': 0.7174, 'grad_norm': 0.7480360269546509, 'learning_rate': 1.0739191937435777e-05, 'epoch': 1.57}
{'loss': 0.7529, 'grad_norm': 0.8848508596420288, 'learning_rate': 1.0170130627211245e-05, 'epoch': 1.59}
{'loss': 0.7586, 'grad_norm': 0.7513667941093445, 'learning_rate': 9.614848923214887e-06, 'epoch': 1.6}
{'loss': 0.7798, 'grad_norm': 0.6454994678497314, 'learning_rate': 9.073538931605929e-06, 'epoch': 1.61}
{'loss': 0.7456, 'grad_norm': 0.6595513224601746, 'learning_rate': 8.54638792486726e-06, 'epoch': 1.62}
{'loss': 0.7955, 'grad_norm': 0.9391868710517883, 'learning_rate': 8.033578277016445e-06, 'epoch': 1.63}
{'loss': 0.7679, 'grad_norm': 0.6458109617233276, 'learning_rate': 7.535287400511215e-06, 'epoch': 1.65}
{'loss': 0.741, 'grad_norm': 0.8119723796844482, 'learning_rate': 7.051687684871644e-06, 'epoch': 1.66}
{'loss': 0.7478, 'grad_norm': 0.920330822467804, 'learning_rate': 6.582946437039949e-06, 'epoch': 1.67}
{'loss': 0.7204, 'grad_norm': 0.6895248889923096, 'learning_rate': 6.1292258234987075e-06, 'epoch': 1.68}
{'loss': 0.7086, 'grad_norm': 0.7547255754470825, 'learning_rate': 5.6906828141675085e-06, 'epoch': 1.69}
{'loss': 0.7062, 'grad_norm': 0.9273020625114441, 'learning_rate': 5.267469128097336e-06, 'epoch': 1.71}
{'loss': 0.7555, 'grad_norm': 0.6265207529067993, 'learning_rate': 4.859731180981647e-06, 'epoch': 1.72}
{'loss': 0.7492, 'grad_norm': 0.7460136413574219, 'learning_rate': 4.467610034502162e-06, 'epoch': 1.73}
{'loss': 0.7656, 'grad_norm': 0.7962234616279602, 'learning_rate': 4.091241347526864e-06, 'epoch': 1.74}
{'loss': 0.7554, 'grad_norm': 0.6602392196655273, 'learning_rate': 3.7307553291773378e-06, 'epoch': 1.75}
{'loss': 0.7467, 'grad_norm': 0.8732659220695496, 'learning_rate': 3.3862766937813427e-06, 'epoch': 1.76}
{'loss': 0.6883, 'grad_norm': 0.5581203699111938, 'learning_rate': 3.0579246177264597e-06, 'epoch': 1.78}
{'eval_loss': 0.7539908289909363, 'eval_runtime': 73.3036, 'eval_samples_per_second': 11.432, 'eval_steps_per_second': 1.432, 'epoch': 1.78}
{'loss': 0.7707, 'grad_norm': 0.8645744919776917, 'learning_rate': 2.7458126982296384e-06, 'epoch': 1.79}
{'loss': 0.7216, 'grad_norm': 0.5762067437171936, 'learning_rate': 2.450048914036912e-06, 'epoch': 1.8}
{'loss': 0.7191, 'grad_norm': 0.6891810297966003, 'learning_rate': 2.1707355880669187e-06, 'epoch': 1.81}
{'loss': 0.7231, 'grad_norm': 0.7785309553146362, 'learning_rate': 1.907969352011063e-06, 'epoch': 1.82}
{'loss': 0.7565, 'grad_norm': 0.7989713549613953, 'learning_rate': 1.661841112902679e-06, 'epoch': 1.84}
{'loss': 0.7765, 'grad_norm': 0.892192006111145, 'learning_rate': 1.4324360216666998e-06, 'epoch': 1.85}
{'loss': 0.7968, 'grad_norm': 0.7969377040863037, 'learning_rate': 1.2198334436606618e-06, 'epoch': 1.86}
{'loss': 0.7907, 'grad_norm': 0.6546120643615723, 'learning_rate': 1.0241069312173835e-06, 'epoch': 1.87}
{'loss': 0.7288, 'grad_norm': 0.8299030661582947, 'learning_rate': 8.453241981986603e-07, 'epoch': 1.88}
{'loss': 0.717, 'grad_norm': 0.7961856722831726, 'learning_rate': 6.835470965688595e-07, 'epoch': 1.89}
{'loss': 0.7049, 'grad_norm': 0.8347786664962769, 'learning_rate': 5.388315949965305e-07, 'epoch': 1.91}
{'loss': 0.7523, 'grad_norm': 0.8221302032470703, 'learning_rate': 4.1122775949137825e-07, 'epoch': 1.92}
{'loss': 0.6913, 'grad_norm': 0.806039571762085, 'learning_rate': 3.007797360833675e-07, 'epoch': 1.93}
{'loss': 0.7737, 'grad_norm': 0.6726375222206116, 'learning_rate': 2.0752573554986276e-07, 'epoch': 1.94}
{'loss': 0.7456, 'grad_norm': 0.773899257183075, 'learning_rate': 1.3149802019618574e-07, 'epoch': 1.95}
{'loss': 0.7464, 'grad_norm': 0.8613069653511047, 'learning_rate': 7.272289269408261e-08, 'epoch': 1.97}
{'loss': 0.6822, 'grad_norm': 0.7370858192443848, 'learning_rate': 3.1220686982025294e-08, 'epoch': 1.98}
{'loss': 0.6789, 'grad_norm': 0.783404529094696, 'learning_rate': 7.005761230433061e-09, 'epoch': 1.99}
{'train_runtime': 3682.1048, 'train_samples_per_second': 3.669, 'train_steps_per_second': 0.917, 'train_loss': 0.7799784201288308, 'epoch': 2.0}
