body,label
"A fost ok fiindca am rezolvat principalul lucru pentru care venisem si anume sa ma ajutati sa schimb rotile la trotineta copilului. A fost haios ca ne-a preluat un baiat care era fff nou angajat si n-a reusit sa rezolve. Apoi cu ajutorul unui bodyguard am luat legatura cu un baiat carenu numai ca a gasit tot dar a si montat rotile.  Chiar as fi curios de ce se schimba mereu personalul la dvs ?  Altfel  nu mai reusesc sa ma descurc in magazin , am stat sa caut unde una unde e alta , cred ca se poate gandi o aranjare a produselor mai simpla. Dar s-ar putea sa nu ma fi prins eu  poate ar fi buna o harta .. zic si eu.",Negativ
"Experienta ok. A durat cam mult la case, era coada si doar 2 case deschise.",Pozitiv
Foarte multumit de calitatea produselor achizitionat si promptitudinea livrarii. Recomand.,Pozitiv
Ar trebui amenajate mai multe cabine de proba pentru volumul de produse si clienți care se afla in magazin.,Negativ
"In descriere scrie """"Jachetă Impermeabilă Ciclism 300 Albastru Bărbați"""", dar nu este deloc impermeabila, intra apa prin ea ca prin panza.",Negativ
Nu faceți rabat de la calitate! Când o să vreau un lucru bun vin la voi!,Pozitiv
"Am luat acest propus ca și cadou, în primul rând pentru aspectul premium. Cred că m-aș fi ales mult mai bine cu un bidon de 10 Lei deoarece asta curge dacă stă orizontal sau înclinat și îi foarte greu de băut din el și capacul se inchide greu. Nu aș cumpăra produsul a doua oară.",Negativ
"La o parte dinprodusele care mi-au placut nu existau marimi adecvate numai marimi mari sau foarte mari xl,xxl,papuci 45-46...un numar mare de produse pe care nu le poate folosi aproape nimeni...Nu am gasit tricou fara maneci,maieu si pantaloni 3/4 de la Puma si nici adidasi fara crampoane PUMA.",Negativ
Nu am gasit mai mult de jumatate din masuri la incaltaminte copii si mai putin de jumatate dintre modele!,Negativ
"Am găsit produse cu un alt preț afișat la raft,  mai mare, decât cel real. Un mare punct minus îl acord personalului de la magazinul Băneasa, unde am căutat un produs, m-au consiliat și mi-au spus că nu se găsește niciaeri, epoi eu l-am găsit în 3 exemple de culori in Berceni....",Pozitiv
"Comanda a fost ok, proteinele foarte bune, dar livrarea s-a efectuat intr-o perioada destul de mare.",Pozitiv
Nu doar că nu am găsit un reprezentant care să mă ajute în magazin dar și amabilitatea casierilor lasă de dorit,Negativ
"Foarte inspirata alegerea locatiei magazinului, modul de prezentare, spatiul generos.",Pozitiv
Am achizitionat un produs care la raft avea un pret si la casa de marcat avea un pret mai mare!,Negativ
Super un magazin in care poti sa faci ce vrei.,Pozitiv
Comunicare cam deficienta . A trebuit sa sun la dumneavoastra de cateva ori referitor la termenul de livrare si la curier referitor la acelasi lucru,Pozitiv
"Baietelul meu a vrut sa participe la concursul anuntat pe site pt ca mai participasera cu o zi inainte 2 prieteni. Am ajuns in magazin putin dupa ora 14,00 si o angajata ne-a comunicat ca nu se mai poate inscrie la concurs acesta s-a incheiat. Dupa ce sotul meu a vrut sa faca reclamatie un angajat al magazinului a avut amabilitatea sa il inscrie in concurs, insa copilul a fost """"fericit"""" ca a participat si dezamagit ca nu a putut sa participe si pentru premiu.Putine produse in magazin pentru grupa de varsta 8-10 ani la capitolul incaltaminte si haine sport.",Negativ
"în urmă cu aproximativ o lună am comandat un produs ce nu era pe stoc. Mi s-a comunicat că voi fi anunțat când sosește. Deși a ajuns pe data de 13 iunie, acest lucru nu mi-a fost comunicat. Întîmplarea a făcut să trec pe la magazin și doar întâmplarea a făcut să mai găsesc produsul ... pentru că era la raft și a fost și singura bucată primită dealtfel .... Acest magazin din Piatra Neamț merită mai multe produse pe stoc din categoria vânătoare ( echipament , îmbrăcăminte etc. ) dintre cele pe care le comercializați prin alte magazine sau online !",Negativ
Ar trebui niste oferte promotionale. Tineti prea mult la preturi.,Pozitiv
adultii sa nu se mai plimbe cu skate-uri sau trotinete de dragul copiilor sau sa se dea cool,Pozitiv
"Desi spatiul este micut, gasesti produsele cautate- fiind asezate in ordine, pe categorii! Am o banda de alergat achizionata de aici si am mici probleme cu ea- personalul super ok, instruit bine, m-a invatat cum sa pun silicon pe ea si sa rezolv problema, plus, mi-au spus ca daca nu se rezolva se vor deplasa la domiciliu ptr a o repara! Copii isi gasesc in magazin tot ce le trebui pentru diverse activitati sportive, produse foarte bune la preturi imbatabile! Felicitari si tineti-o tot asa!",Pozitiv
"Spatiu aerisit, preturi pentru toate buzunarele, personal deosebit de amabil si competent. La treninguri marca ADIDAS  pentru  adolescenti de 15-16 ani baieti ( si fete), desi pretul era f.bun, nu prea erau modele. Poate ca fiind Craciunul s-au vandut rapid pt ca  baietii si fetele de 15-18 ani sunt mari amatori de aceasta marca.Pe ansamblu a fost foarte bine. Daca articolele cumparate se dovedesc a fi de calitate, cu siguranta voi deveni client regulat.",Pozitiv
este un rucsac incapator insa bretelele ar putea fi ma late si mai solide.,Negativ
Unul dintre magazinele mele favorite! Și-mi place că sînteți în secolul 21. :),Pozitiv
"Mai multe produse pt activitati in grup. De ex fileu de tenis desi il aveati, era doar unul singur fiind din promotia veche. Alte astfel de produse sa putem angrena mai multi copii",Pozitiv
"Am fost cu ea la reglat de 3 ori și schimbătorul nu tine mai mult de o săptămâna și se dereglează, lanțul huruie",Negativ
"Pentru a cauta/gasi anumite produse (pelerine, incaltaminte) de care am avut nevoie la ultima vizita, a trebuit sa vizitez toate culoarele magazinului, de 2 ori, pentru a gasi sectiunea corecta a produsului cautat.Sunt impartite de prea multe ori articolele pentru sectiuni, iar organizarea copii / femei / barbati nu este constanta (sau pe stanga, sau pe dreapta, sau combinat pe o parte, etc) si nu foarte vizibila (nu se pot diferentia anumite produse daca sunt pentru femei sau barbati, decat daca sunt si alte produse specifice genului in preajma).Utilizarea produselor in interiorul magazinului nu se face controlat (copii/adulti care alearga sau utilizeaza biciclete, role, etc), putand duce la accidente.Aranjarea produselor in sectiunile corespunzatoare nu face vizibile produsele in sine, ci doar a etichetelor/inscriptionarilor sectiunilor din partea de sus. In momentul in care se cauta un produs, nu ar fi de dorit sa fie cautat printre alte produse mai voluminoase (tricouri atarnate/impachetate langa haine mari si groase, etc).",Negativ
Slab aprovizionat. Nu exista diversitate. Cel putin la produsele de sezon...,Negativ
"Magazinul este cu precadere pentru produse sportive, dar nu numai sportivii pot procura produsele de aici. Pesoanele care doresc un produs durabil, bine lucrat, din materiale de calitate gasesc la acest magazin oferte deosebite.",Pozitiv
stocurile de marfa sunt mai reduse in raport de alte magazine din lantul Decathlon.,Pozitiv
"Este un produs de calitate buna, la un pret accesibil.",Pozitiv
Comanda a ajuns la timp si produsele au fost asa cum mi-am dorit ! Voi mai comanda on-line la Decathlon  !,Pozitiv
PLUSURI: usoara si pliabila.MINUSURI: tablita de blocare a manerului pliabil rugineste si se deformeaza usor,Negativ
"ma asteptam ca fiind magazin nou gasit, sa gasesc mult mai multe produse pe stoc. cel mai slab aprovizionat si cel mai slab per total magazin decathlon din bucuresti.",Negativ
"E ok magazinul, are lucruri de calitate și dacă intradevar ai o problema, ei te ajuta. Ms Decathlon",Pozitiv
RECOMANDAREA DE MARIME NU ESTE CORECTA adica: pentru un copil de 1.65 m am cumparat kimono de 170 si este exagerat de mare.Pt un copil de 1.25m am cumparat kimono d 1.30 si este la fel f mare-disproportionat de mare,Negativ
Asta e strict parerea mea...nu trebuie sa ma obligați să completez toate câmpurile de mai sus...,Pozitiv
Preturi foarte bune raportate la calitatea produselor.Angajatii amabili si deschisi.,Pozitiv
"Gelu de la raionul cu biciclete nu este un tip amabil dacă nu ai sani si fund ( preocupat doar de asta, nu de problema mea în a gasi pedale la biți)",Negativ
Este un produs slab pentru ca:- nu respira (efectiv te uzi mergand cu ea)- nu este impermeabila (te uzi prin umezeala produsa de ploaie)Ma gandesc sa-l returnez.,Negativ
"- produse de calitate medie la pret apropiat de produsele premium.- ar fi necesara o gama mai diversificate pentru produse caracteristice per segment de activitate (ex: DRUMETII: rachete de zapada, coltari, rozete- bete, bandane de calitate (protectie UV)",Negativ
"Raportul calitate/pret, acceptabil. Am dorit sa achizitionez acest produs de la raionul de incaltari pentru barbati, cu captuseala si conturul logo-ului albastru, intrucat nu ma impac cu rozul, dar neavand marimea 39, i-am achizitionat de la raionul de dama. I-am cumparat mai mult pentru turele cu bicicleta, ca si incaltari de """"tavaleala"""". Se comporta foarte bine si pe asfalt, sunt flexibili, rezistenti (pentru inceput), foarte comozi, usori. Ce nu imi place, este ca, dupa cateva ore de stat cu ei incaltata, incep sa miroasa. Am incercat multe tipuri de sosete, dar aceeasi poveste... Nivelul de respirabilitate nu e tocmai pe masura asteptarilor mele.",Negativ
Prețul de la raft nu a corespuns cu prețul de la casa. In plus a trebuit sa stau la alta casa pentru recuperarea diferentei.,Negativ
de obicei doar o singura casa deschisa. personal nu prea pregatit pe raion.,Negativ
"Foarte multumita!Au fost foarte punctuali ,au livrat exact in ziua in care au spus.O sa mai comand cu plăcere!",Pozitiv
Ar trebui instruiti toti angajatii sa cunoasca fiecare produs de pe raionul lor.,Pozitiv
"Buna ziua. Mai aduceti pe rafturi si nr. mai mari la copii. La incaltaminte nu gasesti mai deloc 38-39. Aceeasi treaba si la imbracaminte , treninguri copii pentru 14 ani si ele defapt se potrivesc la copii de 10 - 11 ani. Multumesc pentru intelegere .",Negativ
In general imi place magazinul. Fata de ce a r fi competitie este net superior.,Pozitiv
"Cu 10 min. înainte de finalul programului, am beneficiat de rabdare si amabilitate, am primit sfaturi si recomandari care au fost esentiale pentru decizia de cumparare a unui ceas Polar M400. L-am testat a doua zi si este exact ceea ce cautam. Nota 10 pentru customer service!",Pozitiv
"Elementele de siguranță la adidași erau prinse aiurea,nu se puteau proba!!!",Negativ
Nu recomand produsul deoarece materialul din care este realizat este de calitate indoielnica,Negativ
"Am achizitionat sambata din magazinul din Timisoara 2 centuri pentru karate. Am fost tzapita de catre doamna de la casa cu suma de 12 lei. Una din centuri era circa 23 lei iar cealalta 11 lei. Dansa mi-a incasat valoarea centurii celei mai scumpe x2. Nu suma conteaza, putea fi si un leu, este vorba de principiu. Ca si client, nu ma pun sa fac calculul pentru fiecare produs pe care il iau de pe raft ca sa am un total in momentul in care ajung la casa. Asta e treaba personalului de la casa, de aceea e platit! Sa fie atent si sa incaseze corect. Nu m-am intors inapoi din motive de distanta, dar ar fi meritat sa ma intorc.",Negativ
Nu erau mărimi sau o varietate mai mare de mărimi.,Pozitiv
"Placa este foarte buna pentru incepatori ca mine. Este super relaxant de folosit ai dupa o ora de utilizare din momentul in care a ajuns am fost cu zambetul pe buze  si garantat o sa mai fiu pentru multa vreme.Livrarea a fost facuta in doua zile lucratoare si a venit invelita in folie cu baloane de aer si iar invelita intr-o folie neagra. Nu avea zgarieturi. +Este super stabila tinand cont ca este prima data cand folosesc o placa indiferent de clasa ei dar fiind prima placa nu stiu prea multe despre concurenta+Este comfortabila si nu prea inalta deci nu am avut probleme cu oboseala picioarelor +este usor de controlat chiar daca kingpin-ul este putin prea strans si la fel si rotile+Nu este nici prea grea nici prea usoara- Lemnul scartie putin la viraje dar este de intensitate mica si poate fi remediat super usor cu putin ulei-rotile sunt putin prea stranse dar iarasi nu este o problema de la producator-Kingpin-ul este putin prea strans astefel virajele sunt cam bruste, asta depinde si de fiecare persoanaDupa prima utilizare pot spune ca o recomand cu incredere celor care vor sa se apuce de longboard-ing sau celor care cauta un mod de relaxare.O sa revin cu informatii dupa o perioada mai mare de uz in caz ca se schimba ceva.",Pozitiv
"Buna, poate exista posibilitatea in viitor pentru mai multe dimenisuni, eu as dor de exemplu ceva mai scurt pentru schiurile mele de 1.50.",Pozitiv
Am fost sa cumpar o pereche de adidasi si erau putine marimi mari disponibile si  nu exista un incaltator in tot magazinul. Marimi 4XL - 5 XL inexistente in tot magazinul pentru imbracamintea sportiva si lipsa informatiilor pe pret despre ce marimi sunt existente pentru acel produs . Comparativ cu vizita de acum cateva luni cand existau produse multe acum rafturile erau destul de goale .,Negativ
"Sunt de-a dreptul ingrozitori.La inceput, primele 10 utilizari au fost in regula, dupa aceea am fost nevoit la fiecare bazin sa imi scot apa din ochelari.Ii voi aduce in garantie.",Negativ
"Din cauza concursurilor organizate, personalul nu are suficient timp pentru a aduce si alte marimi la raft. Sunt destul de putini pentru un magazin atat de mare si nu pot oferi si informatii si sa aduca si produse.",Negativ
foarte buni bocanci.... i am folosit toamna vara primavara. i am folosit prin zapada  in luna mai  se usuca repede.  as mai cumpara inca odata nu senmai gasesc...,Pozitiv
Am comandat marimea XXL la o pereche de pantaloni pentru vanatoare si am primit marimea M cu eticheta XXL atasata langa.,Negativ
cum am dat de zapada imi tin rece la picioare ..le simt umede mai mereu picioarele...mai le incerc o zi doua  ..poate mi se pare ..daca nu le returnez..,Negativ
"stiga ,paleta pentru incepatori fara nici o directie pentru a consuma banii,uitati paletele de tenis de masa de la decathlon ,si sfatul din reclama (un ras de sfatuiror)",Negativ
Mai multa atentie in asezarea produselor la rafturi astel incat sa coincida cu preturile afisate!,Negativ
"ingheata mainile in ele , nu sunt atat de bune  pe cat am vrea dar la pretul achizitionat nu poti cere mai mult.",Negativ
"""""Perna"""" pentru asezat capul este foarte foarte incomoda, dupa nici 10 exerciti te vezi nevoit sa renunti din cauza dureri de gat pe care o provoaca acea muchie. La fiecare exercitiu primesti cate o lovitura in zona cefei ceea ce este foarte suparator.  Daca pastram bonul il returnam cu cea mai mare placere. Foarte prost proiectat din acest punct de vedere, nu recomand",Negativ
Pretul afisat la raion era altul fata de casa de marcat,Negativ
Produse de la mai multe firme si mai diversificate...nu in ultimul rand compatibile...mai ales la cele de fitness...greutatile...barele au standarde diferite.ex.diametru 28 in loc de 30 cum este standardul.La capitolul trening...nici nu ai ce cumpara..mai multe modele..grosimi...marimi..,Negativ
"singurul aspect care ma nemultumeste este lipsa produselor, in magazin am gasit mai putin de jumatate din produsele pe care doream sa le cumpar.",Negativ
"Dacå un produs are la raft preț redus,de ce avem surpriza neplăcută să aflăm la casă că nu este cel real?Decathlon Militari de ce este mai bine aprovizionat ca Decathlon Berceni?De ce la casă întâlnim personal obraznic?Am încredere că veți îmbunătăți aceste aspecte!",Negativ
Un sortiment variat de produse pt toate categoriile.Articole de calitate cu preturi pt toate buzunarele.Ai de unde alege.,Pozitiv
"1.Am acumulat puncte in valoare de 25 lei. Data urmatoare cand am fost la Decthlon pentru cumparaturi, dupa ce au fost scanate produsele, am intrebat-o pe casiera daca a luat in calcul si cei 25 lei, acumulati din puncte. Raspunsul a fost sec; trebuia sa spune-ti ca vreti sa folositi punctele inainte de a scana produsele. Puteti sa folositi punctele data viitoare. Data urmatoare cand am venit pemtru cumparaturi, am spus casierei ca doresc sa folosesc cei 25 lei, acumulati din puncte, iar raspunsul a fost ca nu mai am cei 25 lei in cont deoarece, probabil a trecut perioada in care puteau sa fie folositi. Aceasta este politica magazinului.2. Am cumparat o pereche de sosete de schi 300, iar o soseta est mai scurta cu circa 5 cm.",Negativ
"Aș recomanda mai multă implicare din partea personalului. , înființarea unui alt număr de telefon la care sa poti lua legătură cu personalul , un sprijin direct din partea magazinului din Ploiești pentru firmele , o.n.g. , etc.",Negativ
In general este o experienta placuta orice vizita la magazinul Decathlon din Constanta.,Pozitiv
"La finalul vizitei în magazin, înainte de scanarea produselor la casă a fost scanat din greșeală și un produs al persoanei din fața noastră. Lista cu produse scanate nu a fost verificată de casier înainte de plată. Angajatul Decathlon ne-a explicat că senzorul care citește codurile este prea sensibil și este """"normal"""" să se întâmple asta, indicându-ne biroul de informații pentru scoaterea produsului de pe bon și recuperarea banilor plătiți pe el. Acolo, pentru o greșeală a Decathlon, a trebuit să ne pierdem timpul la o altă coadă, unde ni s-a explicat din nou, că aceste întâmplări neplăcute sunt """"normale"""" din vina senzorului și a aglomerației și să avem înțelegere.",Negativ
Putine modele de trotinete chiar dc nu mai e sezonul lor,Pozitiv
"In general sunt multumit de magazinul  dumneavoastra , singurul lucru care pot  zice ca ma nemultumeste un pic este faptul ca nu este tot timpul un angajat al magazinului in preajma clientilor.",Negativ
"Publicați doar ce va convine, gafele și prostiile făcute de voi nu au loc aici, nici o pb, am sa postez pe Facebook sa vadă toată lumea ce serioși sunteți...",Negativ
"Am primit produsul cu ambalajul rupt, distrus, cu bucăți lipsa din el.",Negativ
Ți se taxează produse pe care nu le cumperi pe bon de la persoanele precedente la casa  . Bine ca ma uit pe bon și Primești bani înapoi .,Negativ
"In timpul cat am returnat o trotineta, un angajat Decathlon a luat sticla de apa a copiilor mei care se jucau la saltea si ne-a lasat pe uscat.",Negativ
"Introduceti citeva oglinzi in raioanele de haine ( inclusiv la echipament vinatoare, pescuit), pt ca nu toti clientii au nevoie/timp sa mearga la cabinele de proba, si nici nu e necesar ( pt o sapca sau vesta, nu are rost sa mergi la cabine)... uneori am renuntzat sa cumpar un articol marunt de vestimentatie pt ca trebuia sa merg la cabina sa il vad in oglinda",Pozitiv
Faceti o selectie mai serioasa a persoanelor angajate mai ales a celor care urmeaza sa intre in contact direct cu clientul.,Negativ
toata stima pt implicarea si amabilitatea personalului de la raionul champing sport !,Pozitiv
"Fiicei  mele  i-a placut foarte mult acest model,din punct de  vedere al culorii, comoditatii  si mai ales inchiderii cu scai.",Pozitiv
"Am vrut sa luam un ceas care nu mai avea ambalajul. Casiera ne-a zis ca in acest caz putem beneficia de o reducere de pret ceea ce ne-a bucurat mai ales ca fiica mea de 9 ani dorea sa cumpere ceasul din banii ei. Cand am intrebat cat este reducerea, casiera a intrebat-o pe sefa ei care ne-a zis ca nu se acorda nici o reducere pt ca ceasul nu avea nici un defect.",Negativ
Sunteti cei mai tari. Aveti o gama variata de produse iar personalul e super amabil. Recomand cu caldura.,Pozitiv
"Am cumparat aprox.acum o luna o pereche de adidasi din decathlon tg mures. îmi plac foarte mult, design frumos ,usori .stângul mi se potriveste perfect in schimb piciorul drept este fabricat gresit. este mai îngust la talpă. .in zona fascitei..alerg de mult timp dar nu a  mai patit asa ceva.",Negativ
Sunt necesare produse mai calitative la incaltaminte si mai variate.Preturile sunt accesibile si organizarea magazinului buna.,Pozitiv
Este o incaltaminte usoara care poate fi utilizata atat in mediu urban cat si pe teren accidentat. Este foarte practica.,Pozitiv
"am plasat o comanda pentru un roler pe care trebuiau sa o aduca de la magazinul din Craiova. Mi s-a spus ca voi fi sunata in momentul in care soseste  produsul, maxim 5 zile. Au trecut 9 zile si inca nu m-a sunat nimeni.",Negativ
Gama diversificata de produse si preturi pentru amatorii de sport.,Pozitiv
Prea putini angajati.Am cumparat o bicicleta si am asteptat o ora pt ca cei doi baieti nu faceau fata.Baiatul care ne-a vandut bicicleta(cel mic de statura si cred ca avea ochelari)foarte amabil si cu mult bun simt.Bv lui.,Negativ
